Name	Type	Microbiome	Sample_accession	Comments	Study_accession
gut microbiome of farm animals	amplicon	yak	SRR20218142	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218143	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218145	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218146	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218147	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218148	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218149	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218150	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218151	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218152	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218153	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218154	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218156	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218157	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218158	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	yak	SRR20218159	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214158	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214159	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214163	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214164	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214166	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214168	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22214172	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22727855	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22727856	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22727859	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22727860	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
gut microbiome of farm animals	amplicon	cow	SRR22727861	Could not find the paper for this study. This is an immense study that includes a lot of farm animals	PRJNA785979
not implemented	amplicon	Unknown	ERR227180	not implemented	PRJEB1400
	amplicon	Unknown	ERR227181		PRJEB1400
	amplicon	Unknown	ERR227182		PRJEB1400
	amplicon	Unknown	ERR227183		PRJEB1400
	amplicon	Unknown	ERR227184		PRJEB1400
	amplicon	Unknown	ERR227185		PRJEB1400
	amplicon	Unknown	ERR227186		PRJEB1400
	amplicon	Unknown	ERR227187		PRJEB1400
	amplicon	Unknown	ERR227188		PRJEB1400
	amplicon	Unknown	ERR227189		PRJEB1400
	amplicon	Unknown	ERR227190		PRJEB1400
	amplicon	Unknown	ERR227191		PRJEB1400
	amplicon	Unknown	ERR227192		PRJEB1400
	amplicon	Unknown	ERR227193		PRJEB1400
	amplicon	Unknown	ERR227194		PRJEB1400
	amplicon	Unknown	ERR227195		PRJEB1400
	amplicon	Unknown	ERR227196		PRJEB1400
	amplicon	Unknown	ERR227197		PRJEB1400
	amplicon	Unknown	ERR227198		PRJEB1400
	amplicon	Unknown	ERR227199		PRJEB1400
	amplicon	Unknown	ERR227200		PRJEB1400
	amplicon	Unknown	ERR227201		PRJEB1400
	amplicon	Unknown	ERR227202		PRJEB1400
	amplicon	Unknown	ERR227203		PRJEB1400
	amplicon	Unknown	ERR227204		PRJEB1400
	amplicon	Unknown	ERR227205		PRJEB1400
	amplicon	Unknown	ERR227206		PRJEB1400
	amplicon	Unknown	ERR227207		PRJEB1400
	amplicon	Unknown	ERR227208		PRJEB1400
	amplicon	Unknown	ERR227209		PRJEB1400
	amplicon	Unknown	ERR227210		PRJEB1400
	amplicon	Unknown	ERR227211		PRJEB1400
	amplicon	Unknown	ERR227212		PRJEB1400
	amplicon	Unknown	ERR227213		PRJEB1400
	amplicon	Unknown	ERR227214		PRJEB1400
	amplicon	Unknown	ERR227215		PRJEB1400
	amplicon	Unknown	ERR227216		PRJEB1400
	amplicon	Unknown	ERR227217		PRJEB1400
	amplicon	Unknown	ERR227218		PRJEB1400
	amplicon	Unknown	ERR227219		PRJEB1400
	amplicon	Unknown	ERR227220		PRJEB1400
	amplicon	Unknown	ERR227221		PRJEB1400
	amplicon	Unknown	ERR227222		PRJEB1400
	amplicon	Unknown	ERR227223		PRJEB1400
	amplicon	Unknown	ERR227224		PRJEB1400
	amplicon	Unknown	ERR227225		PRJEB1400
	amplicon	Unknown	ERR227226		PRJEB1400
	amplicon	Unknown	ERR227227		PRJEB1400
	amplicon	Unknown	ERR227228		PRJEB1400
	amplicon	Unknown	ERR227229		PRJEB1400
	amplicon	Unknown	ERR227230		PRJEB1400
	amplicon	Unknown	ERR227231		PRJEB1400
	amplicon	Unknown	ERR227232		PRJEB1400
	amplicon	Unknown	ERR227233		PRJEB1400
	amplicon	Unknown	ERR227234		PRJEB1400
	amplicon	Unknown	ERR227235		PRJEB1400
	amplicon	Unknown	ERR227236		PRJEB1400
	amplicon	Unknown	ERR227237		PRJEB1400
	amplicon	Unknown	ERR227238		PRJEB1400
	amplicon	Unknown	ERR227239		PRJEB1400
	amplicon	Unknown	ERR227240		PRJEB1400
	amplicon	Unknown	ERR227241		PRJEB1400
	amplicon	Unknown	ERR227242		PRJEB1400
	amplicon	Unknown	ERR227243		PRJEB1400
	amplicon	Unknown	ERR227244		PRJEB1400
	amplicon	Unknown	ERR227245		PRJEB1400
	amplicon	Unknown	ERR227246		PRJEB1400
	amplicon	Unknown	ERR227247		PRJEB1400
	amplicon	Unknown	ERR227248		PRJEB1400
	amplicon	Unknown	ERR227249		PRJEB1400
	amplicon	Unknown	ERR227250		PRJEB1400
	amplicon	Unknown	ERR227251		PRJEB1400
	amplicon	Unknown	ERR227252		PRJEB1400
	amplicon	Unknown	ERR227253		PRJEB1400
	amplicon	Unknown	ERR227254		PRJEB1400
	amplicon	Unknown	ERR227255		PRJEB1400
	amplicon	Unknown	ERR227256		PRJEB1400
	amplicon	Unknown	ERR227257		PRJEB1400
	amplicon	Unknown	ERR227258		PRJEB1400
	amplicon	Unknown	ERR227259		PRJEB1400
	amplicon	Unknown	ERR227260		PRJEB1400
	amplicon	Unknown	ERR227261		PRJEB1400
	amplicon	Unknown	ERR227262		PRJEB1400
	amplicon	Unknown	ERR227263		PRJEB1400
	amplicon	Unknown	ERR227264		PRJEB1400
	amplicon	Unknown	ERR227265		PRJEB1400
	amplicon	Unknown	ERR227266		PRJEB1400
	amplicon	Unknown	ERR227267		PRJEB1400
	amplicon	Unknown	ERR227268		PRJEB1400
	amplicon	Unknown	ERR227269		PRJEB1400
	amplicon	Unknown	ERR227270		PRJEB1400
	amplicon	Unknown	ERR227271		PRJEB1400
	amplicon	Unknown	ERR227272		PRJEB1400
	amplicon	Unknown	ERR227273		PRJEB1400
	amplicon	Unknown	ERR227274		PRJEB1400
	amplicon	Unknown	ERR227275		PRJEB1400
	amplicon	Unknown	ERR227276		PRJEB1400
	amplicon	Unknown	ERR227277		PRJEB1400
	amplicon	Unknown	ERR227278		PRJEB1400
	amplicon	Unknown	ERR227279		PRJEB1400
	amplicon	Unknown	ERR227280		PRJEB1400
	amplicon	Unknown	ERR227281		PRJEB1400
	amplicon	Unknown	ERR227282		PRJEB1400
	amplicon	Unknown	ERR227283		PRJEB1400
	amplicon	Unknown	ERR227284		PRJEB1400
	amplicon	Unknown	ERR227285		PRJEB1400
	amplicon	Unknown	ERR227286		PRJEB1400
	amplicon	Unknown	ERR227287		PRJEB1400
	amplicon	Unknown	ERR227288		PRJEB1400
	amplicon	Unknown	ERR227289		PRJEB1400
	amplicon	Unknown	ERR227290		PRJEB1400
	amplicon	Unknown	ERR227291		PRJEB1400
	amplicon	Unknown	ERR227292		PRJEB1400
	amplicon	Unknown	ERR227293		PRJEB1400
	amplicon	Unknown	ERR227294		PRJEB1400
	amplicon	Unknown	ERR227295		PRJEB1400
	amplicon	Unknown	ERR227296		PRJEB1400
	amplicon	Unknown	ERR227297		PRJEB1400
	amplicon	Unknown	ERR227298		PRJEB1400
	amplicon	Unknown	ERR227299		PRJEB1400
	amplicon	Unknown	ERR227300		PRJEB1400
	amplicon	Unknown	ERR227301		PRJEB1400
	amplicon	Unknown	ERR227302		PRJEB1400
	amplicon	Unknown	ERR227303		PRJEB1400
	amplicon	Unknown	ERR227304		PRJEB1400
	amplicon	Unknown	ERR227305		PRJEB1400
	amplicon	Unknown	ERR227306		PRJEB1400
	amplicon	Unknown	ERR227307		PRJEB1400
	amplicon	Unknown	ERR227308		PRJEB1400
	amplicon	Unknown	ERR227309		PRJEB1400
	amplicon	Unknown	ERR227310		PRJEB1400
	amplicon	Unknown	ERR227311		PRJEB1400
	amplicon	Unknown	ERR227312		PRJEB1400
	amplicon	Unknown	ERR227313		PRJEB1400
	amplicon	Unknown	ERR227314		PRJEB1400
	amplicon	Unknown	ERR227315		PRJEB1400
	amplicon	Unknown	ERR227316		PRJEB1400
	amplicon	Unknown	ERR227317		PRJEB1400
	amplicon	Unknown	ERR227318		PRJEB1400
	amplicon	Unknown	ERR227319		PRJEB1400
	amplicon	Unknown	ERR227320		PRJEB1400
	amplicon	Unknown	ERR227321		PRJEB1400
	amplicon	Unknown	ERR227322		PRJEB1400
	amplicon	Unknown	ERR227323		PRJEB1400
	amplicon	Unknown	ERR227324		PRJEB1400
	amplicon	Unknown	ERR227325		PRJEB1400
	amplicon	Unknown	ERR227326		PRJEB1400
	amplicon	Unknown	ERR227327		PRJEB1400
	amplicon	Unknown	ERR227328		PRJEB1400
	amplicon	Unknown	ERR227329		PRJEB1400
	amplicon	Unknown	ERR227330		PRJEB1400
	amplicon	Unknown	ERR227331		PRJEB1400
	amplicon	Unknown	ERR227332		PRJEB1400
	amplicon	Unknown	ERR227333		PRJEB1400
	amplicon	Unknown	ERR227334		PRJEB1400
	amplicon	Unknown	ERR227335		PRJEB1400
	amplicon	Unknown	ERR227336		PRJEB1400
	amplicon	Unknown	ERR227337		PRJEB1400
	amplicon	Unknown	ERR227338		PRJEB1400
	amplicon	Unknown	ERR227339		PRJEB1400
	amplicon	Unknown	ERR227340		PRJEB1400
	amplicon	Unknown	ERR227341		PRJEB1400
	amplicon	Unknown	ERR227342		PRJEB1400
	amplicon	Unknown	ERR227343		PRJEB1400
	amplicon	Unknown	ERR227344		PRJEB1400
	amplicon	Unknown	ERR227345		PRJEB1400
	amplicon	Unknown	ERR227346		PRJEB1400
	amplicon	Unknown	ERR227347		PRJEB1400
	amplicon	Unknown	ERR227348		PRJEB1400
	amplicon	Unknown	ERR227349		PRJEB1400
	amplicon	Unknown	ERR227350		PRJEB1400
	amplicon	Unknown	ERR227351		PRJEB1400
	amplicon	Unknown	ERR227352		PRJEB1400
	amplicon	Unknown	ERR227353		PRJEB1400
	amplicon	Unknown	ERR227354		PRJEB1400
	amplicon	Unknown	ERR227355		PRJEB1400
	amplicon	Unknown	ERR227356		PRJEB1400
	amplicon	Unknown	ERR227357		PRJEB1400
	amplicon	Unknown	ERR227358		PRJEB1400
	amplicon	Unknown	ERR227359		PRJEB1400
	amplicon	Unknown	ERR227360		PRJEB1400
	amplicon	Unknown	ERR227361		PRJEB1400
	amplicon	Unknown	ERR227362		PRJEB1400
	amplicon	Unknown	ERR227363		PRJEB1400
	amplicon	Unknown	ERR227364		PRJEB1400
	amplicon	Unknown	ERR227365		PRJEB1400
	amplicon	Unknown	ERR227366		PRJEB1400
	amplicon	Unknown	ERR227367		PRJEB1400
	amplicon	Unknown	ERR227368		PRJEB1400
	amplicon	Unknown	ERR227369		PRJEB1400
	amplicon	Unknown	ERR227370		PRJEB1400
	amplicon	Unknown	ERR227371		PRJEB1400
	amplicon	Unknown	ERR227372		PRJEB1400
	amplicon	Unknown	ERR227373		PRJEB1400
	amplicon	Unknown	ERR227374		PRJEB1400
	amplicon	Unknown	ERR227375		PRJEB1400
	amplicon	Unknown	ERR227376		PRJEB1400
	amplicon	Unknown	ERR227377		PRJEB1400
	amplicon	Unknown	ERR227378		PRJEB1400
	amplicon	Unknown	ERR227379		PRJEB1400
	amplicon	Unknown	ERR227380		PRJEB1400
	amplicon	Unknown	ERR227381		PRJEB1400
	amplicon	Unknown	ERR227382		PRJEB1400
	amplicon	Unknown	ERR227383		PRJEB1400
	amplicon	Unknown	ERR227384		PRJEB1400
	amplicon	Unknown	ERR227385		PRJEB1400
	amplicon	Unknown	ERR227386		PRJEB1400
	amplicon	Unknown	ERR227387		PRJEB1400
	amplicon	Unknown	ERR227388		PRJEB1400
	amplicon	Unknown	ERR227389		PRJEB1400
	amplicon	Unknown	ERR227390		PRJEB1400
	amplicon	Unknown	ERR227391		PRJEB1400
	amplicon	Unknown	ERR227392		PRJEB1400
	amplicon	Unknown	ERR227393		PRJEB1400
	amplicon	Unknown	ERR227394		PRJEB1400
	amplicon	Unknown	ERR227395		PRJEB1400
	amplicon	Unknown	ERR227396		PRJEB1400
	amplicon	Unknown	ERR227397		PRJEB1400
	amplicon	Unknown	ERR227398		PRJEB1400
	amplicon	Unknown	ERR227399		PRJEB1400
	amplicon	Unknown	ERR227400		PRJEB1400
	amplicon	Unknown	ERR227401		PRJEB1400
	amplicon	Unknown	ERR227402		PRJEB1400
	amplicon	Unknown	ERR227403		PRJEB1400
	amplicon	Unknown	ERR227404		PRJEB1400
	amplicon	Unknown	ERR227405		PRJEB1400
	amplicon	Unknown	ERR227406		PRJEB1400
	amplicon	Unknown	ERR227407		PRJEB1400
	amplicon	Unknown	ERR227408		PRJEB1400
	amplicon	Unknown	ERR227409		PRJEB1400
	amplicon	Unknown	ERR227410		PRJEB1400
	amplicon	Unknown	ERR227411		PRJEB1400
	amplicon	Unknown	ERR227412		PRJEB1400
	amplicon	Unknown	ERR227413		PRJEB1400
	amplicon	Unknown	ERR227414		PRJEB1400
	amplicon	Unknown	ERR227415		PRJEB1400
	amplicon	Unknown	ERR227416		PRJEB1400
	amplicon	Unknown	ERR227417		PRJEB1400
	amplicon	Unknown	ERR227418		PRJEB1400
	amplicon	Unknown	ERR227419		PRJEB1400
	amplicon	Unknown	ERR1229946		PRJEB12535
	amplicon	Unknown	ERR1229947		PRJEB12535
	amplicon	Unknown	ERR1229948		PRJEB12535
	amplicon	Unknown	ERR1229949		PRJEB12535
	amplicon	Unknown	ERR1229950		PRJEB12535
	amplicon	Unknown	ERR1229951		PRJEB12535
	amplicon	Unknown	ERR1229952		PRJEB12535
	amplicon	Unknown	ERR1229953		PRJEB12535
	amplicon	Unknown	ERR1229954		PRJEB12535
	amplicon	Unknown	ERR1229955		PRJEB12535
	amplicon	Unknown	ERR1229956		PRJEB12535
	amplicon	Unknown	ERR1229957		PRJEB12535
	amplicon	Unknown	ERR1229958		PRJEB12535
	amplicon	Unknown	ERR1229959		PRJEB12535
	amplicon	Unknown	ERR1229960		PRJEB12535
	amplicon	Unknown	ERR1229961		PRJEB12535
	amplicon	Unknown	ERR1229962		PRJEB12535
	amplicon	Unknown	ERR1229963		PRJEB12535
	amplicon	Unknown	ERR1229964		PRJEB12535
	amplicon	Unknown	ERR1229965		PRJEB12535
	amplicon	Unknown	ERR1229966		PRJEB12535
	amplicon	Unknown	ERR1229967		PRJEB12535
	amplicon	Unknown	ERR1229968		PRJEB12535
	amplicon	Unknown	ERR1229969		PRJEB12535
	amplicon	Unknown	ERR1229970		PRJEB12535
	amplicon	Unknown	ERR1229971		PRJEB12535
	amplicon	Unknown	ERR1229972		PRJEB12535
	amplicon	Unknown	ERR1229973		PRJEB12535
	amplicon	Unknown	ERR1229974		PRJEB12535
	amplicon	Unknown	ERR1229975		PRJEB12535
	amplicon	Unknown	ERR1229976		PRJEB12535
	amplicon	Unknown	ERR1229977		PRJEB12535
	amplicon	Unknown	ERR1229978		PRJEB12535
	amplicon	Unknown	ERR1229979		PRJEB12535
	amplicon	Unknown	ERR1229980		PRJEB12535
	amplicon	Unknown	ERR1229981		PRJEB12535
	amplicon	Unknown	ERR1229982		PRJEB12535
	amplicon	Unknown	ERR1229983		PRJEB12535
	amplicon	Unknown	ERR1229984		PRJEB12535
	amplicon	Unknown	ERR1229985		PRJEB12535
	amplicon	Unknown	ERR1229986		PRJEB12535
	amplicon	Unknown	ERR1229987		PRJEB12535
	amplicon	Unknown	ERR5953297		PRJEB37781
	amplicon	Unknown	ERR5953298		PRJEB37781
	amplicon	Unknown	ERR5953299		PRJEB37781
	amplicon	Unknown	ERR5953300		PRJEB37781
	amplicon	Unknown	ERR5953302		PRJEB37781
	amplicon	Unknown	ERR5953303		PRJEB37781
	amplicon	Unknown	ERR5953304		PRJEB37781
	amplicon	Unknown	ERR5953305		PRJEB37781
	amplicon	Unknown	ERR5953296		PRJEB37781
	amplicon	Unknown	ERR5953117		PRJEB37781
	amplicon	Unknown	ERR5953118		PRJEB37781
	amplicon	Unknown	ERR5953119		PRJEB37781
	amplicon	Unknown	ERR5953120		PRJEB37781
	amplicon	Unknown	ERR5953121		PRJEB37781
	amplicon	Unknown	ERR5953122		PRJEB37781
	amplicon	Unknown	ERR5953123		PRJEB37781
	amplicon	Unknown	ERR5953124		PRJEB37781
	amplicon	Unknown	ERR5953125		PRJEB37781
	amplicon	Unknown	ERR5953126		PRJEB37781
	amplicon	Unknown	ERR5953127		PRJEB37781
	amplicon	Unknown	ERR5953128		PRJEB37781
	amplicon	Unknown	ERR5953129		PRJEB37781
	amplicon	Unknown	ERR5953130		PRJEB37781
	amplicon	Unknown	ERR5953131		PRJEB37781
	amplicon	Unknown	ERR5953132		PRJEB37781
	amplicon	Unknown	ERR5953133		PRJEB37781
	amplicon	Unknown	ERR5953134		PRJEB37781
	amplicon	Unknown	ERR5953135		PRJEB37781
	amplicon	Unknown	ERR5953136		PRJEB37781
	amplicon	Unknown	ERR5953137		PRJEB37781
	amplicon	Unknown	ERR5953138		PRJEB37781
	amplicon	Unknown	ERR5953139		PRJEB37781
	amplicon	Unknown	ERR5953140		PRJEB37781
	amplicon	Unknown	ERR5953141		PRJEB37781
	amplicon	Unknown	ERR5953142		PRJEB37781
	amplicon	Unknown	ERR5953143		PRJEB37781
	amplicon	Unknown	ERR5953144		PRJEB37781
	amplicon	Unknown	ERR5953145		PRJEB37781
	amplicon	Unknown	ERR5953146		PRJEB37781
	amplicon	Unknown	ERR5953147		PRJEB37781
	amplicon	Unknown	ERR5953148		PRJEB37781
	amplicon	Unknown	ERR5953149		PRJEB37781
	amplicon	Unknown	ERR5953150		PRJEB37781
	amplicon	Unknown	ERR5953151		PRJEB37781
	amplicon	Unknown	ERR5953152		PRJEB37781
	amplicon	Unknown	ERR5953153		PRJEB37781
	amplicon	Unknown	ERR5953154		PRJEB37781
	amplicon	Unknown	ERR5953155		PRJEB37781
	amplicon	Unknown	ERR5953156		PRJEB37781
	amplicon	Unknown	ERR5953157		PRJEB37781
	amplicon	Unknown	ERR5953158		PRJEB37781
	amplicon	Unknown	ERR5953159		PRJEB37781
	amplicon	Unknown	ERR5953160		PRJEB37781
	amplicon	Unknown	ERR5953161		PRJEB37781
	amplicon	Unknown	ERR5953162		PRJEB37781
	amplicon	Unknown	ERR5953163		PRJEB37781
	amplicon	Unknown	ERR5953164		PRJEB37781
	amplicon	Unknown	ERR5953165		PRJEB37781
	amplicon	Unknown	ERR5953166		PRJEB37781
	amplicon	Unknown	ERR5953167		PRJEB37781
	amplicon	Unknown	ERR5953168		PRJEB37781
	amplicon	Unknown	ERR5953169		PRJEB37781
	amplicon	Unknown	ERR5953170		PRJEB37781
	amplicon	Unknown	ERR5953171		PRJEB37781
	amplicon	Unknown	ERR5953172		PRJEB37781
	amplicon	Unknown	ERR5953173		PRJEB37781
	amplicon	Unknown	ERR5953174		PRJEB37781
	amplicon	Unknown	ERR5953175		PRJEB37781
	amplicon	Unknown	ERR5953176		PRJEB37781
	amplicon	Unknown	ERR5953177		PRJEB37781
	amplicon	Unknown	ERR5953178		PRJEB37781
	amplicon	Unknown	ERR5953179		PRJEB37781
	amplicon	Unknown	ERR5953180		PRJEB37781
	amplicon	Unknown	ERR5953181		PRJEB37781
	amplicon	Unknown	ERR5953182		PRJEB37781
	amplicon	Unknown	ERR5953183		PRJEB37781
	amplicon	Unknown	ERR5953184		PRJEB37781
	amplicon	Unknown	ERR5953185		PRJEB37781
	amplicon	Unknown	ERR5953186		PRJEB37781
	amplicon	Unknown	ERR5953187		PRJEB37781
	amplicon	Unknown	ERR5953188		PRJEB37781
	amplicon	Unknown	ERR5953189		PRJEB37781
	amplicon	Unknown	ERR5953190		PRJEB37781
	amplicon	Unknown	ERR5953191		PRJEB37781
	amplicon	Unknown	ERR5953192		PRJEB37781
	amplicon	Unknown	ERR5953193		PRJEB37781
	amplicon	Unknown	ERR5953194		PRJEB37781
	amplicon	Unknown	ERR5953195		PRJEB37781
	amplicon	Unknown	ERR5953196		PRJEB37781
	amplicon	Unknown	ERR5953197		PRJEB37781
	amplicon	Unknown	ERR5953198		PRJEB37781
	amplicon	Unknown	ERR5953199		PRJEB37781
	amplicon	Unknown	ERR5953200		PRJEB37781
	amplicon	Unknown	ERR5953201		PRJEB37781
	amplicon	Unknown	ERR5953202		PRJEB37781
	amplicon	Unknown	ERR5953203		PRJEB37781
	amplicon	Unknown	ERR5953204		PRJEB37781
	amplicon	Unknown	ERR5953205		PRJEB37781
	amplicon	Unknown	ERR5953206		PRJEB37781
	amplicon	Unknown	ERR5953207		PRJEB37781
	amplicon	Unknown	ERR5953208		PRJEB37781
	amplicon	Unknown	ERR5953209		PRJEB37781
	amplicon	Unknown	ERR5953210		PRJEB37781
	amplicon	Unknown	ERR5953211		PRJEB37781
	amplicon	Unknown	ERR5953212		PRJEB37781
	amplicon	Unknown	ERR5953213		PRJEB37781
	amplicon	Unknown	ERR5953214		PRJEB37781
	amplicon	Unknown	ERR5953215		PRJEB37781
	amplicon	Unknown	ERR5953216		PRJEB37781
	amplicon	Unknown	ERR5953217		PRJEB37781
	amplicon	Unknown	ERR5953218		PRJEB37781
	amplicon	Unknown	ERR5953219		PRJEB37781
	amplicon	Unknown	ERR5953220		PRJEB37781
	amplicon	Unknown	ERR5953221		PRJEB37781
	amplicon	Unknown	ERR5953222		PRJEB37781
	amplicon	Unknown	ERR5953223		PRJEB37781
	amplicon	Unknown	ERR5953224		PRJEB37781
	amplicon	Unknown	ERR5953225		PRJEB37781
	amplicon	Unknown	ERR5953226		PRJEB37781
	amplicon	Unknown	ERR5953227		PRJEB37781
	amplicon	Unknown	ERR5953228		PRJEB37781
	amplicon	Unknown	ERR5953229		PRJEB37781
	amplicon	Unknown	ERR5953230		PRJEB37781
	amplicon	Unknown	ERR5953231		PRJEB37781
	amplicon	Unknown	ERR5953232		PRJEB37781
	amplicon	Unknown	ERR5953233		PRJEB37781
	amplicon	Unknown	ERR5953234		PRJEB37781
	amplicon	Unknown	ERR5953235		PRJEB37781
	amplicon	Unknown	ERR5953236		PRJEB37781
	amplicon	Unknown	ERR5953237		PRJEB37781
	amplicon	Unknown	ERR5953238		PRJEB37781
	amplicon	Unknown	ERR5953239		PRJEB37781
	amplicon	Unknown	ERR5953240		PRJEB37781
	amplicon	Unknown	ERR5953241		PRJEB37781
	amplicon	Unknown	ERR5953242		PRJEB37781
	amplicon	Unknown	ERR5953243		PRJEB37781
	amplicon	Unknown	ERR5953244		PRJEB37781
	amplicon	Unknown	ERR5953245		PRJEB37781
	amplicon	Unknown	ERR5953246		PRJEB37781
	amplicon	Unknown	ERR5953247		PRJEB37781
	amplicon	Unknown	ERR5953248		PRJEB37781
	amplicon	Unknown	ERR5953249		PRJEB37781
	amplicon	Unknown	ERR5953250		PRJEB37781
	amplicon	Unknown	ERR5953251		PRJEB37781
	amplicon	Unknown	ERR5953252		PRJEB37781
	amplicon	Unknown	ERR5953253		PRJEB37781
	amplicon	Unknown	ERR5953254		PRJEB37781
	amplicon	Unknown	ERR5953255		PRJEB37781
	amplicon	Unknown	ERR5953256		PRJEB37781
	amplicon	Unknown	ERR5953257		PRJEB37781
