sample,marker_id,marker_name,genomes_detected,gene_copies_detected,weighted_abundance,copy_cap_per_genome
FW_AS_rep_1,hbd,3-hydroxybutyryl-CoA dehydrogenase,25,55,0.3336820995727612,1.0
FW_AS_rep_1,crt,crotonase,23,76,0.1147876885517482,1.0
FW_AS_rep_1,bcd,butyryl-CoA dehydrogenase,36,99,0.40897201150928575,1.0
FW_AS_rep_1,etfA,electron transfer flavoprotein alpha subunit,43,105,0.46268201238120144,1.0
FW_AS_rep_1,etfB,electron transfer flavoprotein beta subunit,37,48,0.4174295928154154,1.0
FW_AS_rep_1,cat,terminal CoA transferase,23,35,0.263362106548086,1.0
FW_AS_rep_1,lctD,electron-confurcating lactate dehydrogenase catalytic component,8,9,0.04664748452349814,1.0
FW_AS_rep_1,lctB,electron-confurcating lactate dehydrogenase component,21,28,0.31877234283721323,1.0
FW_AS_rep_1,lctC,electron-confurcating lactate dehydrogenase component,17,26,0.30312145784288064,1.0
FW_AS_rep_1,pfor,pyruvate:ferredoxin oxidoreductase,48,141,0.5844450257215101,1.0
FW_AS_rep_1,adhE,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,41,99,0.4639898857790565,1.0
FW_AS_rep_1,adh,alcohol dehydrogenase,39,96,0.41477025023977665,1.0
FW_AS_rep_1,aldh,acetaldehyde dehydrogenase,15,31,0.06596041503182493,1.0
FW_AS_rep_1,hydA,ferredoxin hydrogenase,51,268,0.5893277530735025,1.0
FW_AS_rep_1,fdhA,formate dehydrogenase alpha subunit,45,148,0.5734588891795275,1.0
FW_AS_rep_1,rnfB,Rnf electron transport complex subunit B,47,186,0.5742436132182405,1.0
FW_AS_rep_1,mmcE,methylmalonyl-CoA mutase subunit,39,46,0.49394018658993805,1.0
FW_AS_rep_1,mmcF,methylmalonyl-CoA mutase subunit,36,40,0.4815153893103146,1.0
FW_AS_rep_1,mmcG,methylmalonyl-CoA epimerase,36,41,0.4795099834336035,1.0
FW_AS_rep_1,sucC,succinyl-CoA synthetase beta subunit,19,19,0.3247013689074897,1.0
FW_AS_rep_1,sucD,succinyl-CoA synthetase alpha subunit,28,50,0.3685587235155636,1.0
FW_AS_rep_1,fumB,fumarase,36,40,0.4246664922835468,1.0
FW_AS_rep_1,mdh,malate dehydrogenase,26,31,0.32566047606591675,1.0
FW_AS_rep_1,fhs,formate--tetrahydrofolate ligase,31,36,0.45496555933385635,1.0
FW_AS_rep_1,folD,methylene-THF dehydrogenase/cyclohydrolase,48,49,0.5784724038713052,1.0
FW_AS_rep_1,frhA,coenzyme F420 hydrogenase subunit alpha (H2 uptake),13,20,0.08296276920394106,1.0
FW_AS_rep_1,frhB,coenzyme F420 hydrogenase subunit beta (H2 uptake),51,245,0.5893277530735025,1.0
FW_AS_rep_1,frhG,coenzyme F420 hydrogenase subunit gamma (H2 uptake),50,236,0.5871043682971488,1.0
FW_AS_rep_1,mvhA,F420-non-reducing hydrogenase large subunit (H2 uptake),10,15,0.04525241956578603,1.0
FW_AS_rep_1,mvhD,F420-non-reducing hydrogenase iron-sulfur subunit (H2 uptake),12,20,0.09769814281977504,1.0
FW_AS_rep_1,mvhG,F420-non-reducing hydrogenase small subunit (H2 uptake),24,38,0.17242130961722904,1.0
